"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-662-1.local",,,,"User:","pg27752"
"Cmdline:","dstat -tcdmrsn --integer --output MPI_io5.txt",,,,"Date:","20 Mar 2015 01:37:08 WET"

"system","total cpu usage",,,,,,"dsk/total",,"memory usage",,,,"io/total",,"swap",,"net/total",
20-03 01:37:20,14.632,0.230,84.721,0.417,0.0,0.0,0.0,135168.0,950505472.0,195203072.0,508768256.0,65999757312.0,0.0,33.0,0.0,1048567808.0,0.0,0.0
20-03 01:37:21,0.0,0.042,99.958,0.0,0.0,0.0,0.0,0.0,948985856.0,195203072.0,508882944.0,66001162240.0,0.0,0.0,0.0,1048567808.0,895038.0,23646.0
20-03 01:37:22,0.0,0.042,99.958,0.0,0.0,0.0,0.0,0.0,948977664.0,195203072.0,508891136.0,66001162240.0,0.0,0.0,0.0,1048567808.0,0.0,0.0
20-03 01:37:23,3.214,2.337,94.282,0.146,0.0,0.021,0.0,0.0,993742848.0,195203072.0,520241152.0,65945047040.0,0.0,0.0,0.0,1048567808.0,182.0,252.0
20-03 01:37:24,7.219,0.835,91.926,0.0,0.0,0.021,0.0,0.0,953126912.0,195203072.0,509333504.0,65996570624.0,0.0,0.0,0.0,1048567808.0,0.0,0.0
20-03 01:37:25,0.0,0.063,99.520,0.417,0.0,0.0,0.0,53248.0,953622528.0,195207168.0,508981248.0,65996423168.0,0.0,13.0,0.0,1048567808.0,89332.0,12864.0
20-03 01:37:26,0.0,0.042,99.958,0.0,0.0,0.0,0.0,0.0,953614336.0,195207168.0,508989440.0,65996423168.0,0.0,0.0,0.0,1048567808.0,0.0,0.0
20-03 01:37:27,0.021,0.063,99.917,0.0,0.0,0.0,0.0,0.0,953487360.0,195207168.0,508989440.0,65996550144.0,0.0,0.0,0.0,1048567808.0,0.0,0.0
20-03 01:37:28,0.0,0.063,99.937,0.0,0.0,0.0,0.0,0.0,953483264.0,195207168.0,508993536.0,65996550144.0,0.0,0.0,0.0,1048567808.0,0.0,0.0
20-03 01:37:29,0.021,0.063,99.917,0.0,0.0,0.0,0.0,0.0,952340480.0,195207168.0,508993536.0,65997692928.0,0.0,0.0,0.0,1048567808.0,0.0,0.0
20-03 01:37:30,0.0,0.042,99.958,0.0,0.0,0.0,0.0,0.0,951943168.0,195207168.0,509001728.0,65998082048.0,0.0,0.0,0.0,1048567808.0,0.0,0.0
20-03 01:37:31,0.0,0.042,99.958,0.0,0.0,0.0,0.0,0.0,947593216.0,195207168.0,509001728.0,66002432000.0,0.0,0.0,0.0,1048567808.0,308.0,366.0
20-03 01:37:32,0.021,0.063,99.917,0.0,0.0,0.0,0.0,0.0,947286016.0,195207168.0,509009920.0,66002731008.0,0.0,0.0,0.0,1048567808.0,0.0,0.0
20-03 01:37:33,0.021,0.083,99.896,0.0,0.0,0.0,0.0,0.0,946573312.0,195207168.0,509009920.0,66003443712.0,0.0,0.0,0.0,1048567808.0,60.0,0.0
20-03 01:37:34,0.0,0.042,99.958,0.0,0.0,0.0,0.0,0.0,946438144.0,195207168.0,509018112.0,66003570688.0,0.0,0.0,0.0,1048567808.0,0.0,0.0
20-03 01:37:35,0.021,0.042,99.937,0.0,0.0,0.0,0.0,0.0,944795648.0,195207168.0,509022208.0,66005209088.0,0.0,0.0,0.0,1048567808.0,182.0,252.0
20-03 01:37:36,0.0,0.042,99.958,0.0,0.0,0.0,0.0,0.0,944275456.0,195207168.0,509034496.0,66005716992.0,0.0,0.0,0.0,1048567808.0,0.0,0.0
20-03 01:37:37,0.0,0.063,99.937,0.0,0.0,0.0,0.0,0.0,941772800.0,195207168.0,509034496.0,66008219648.0,0.0,0.0,0.0,1048567808.0,0.0,0.0
20-03 01:37:38,0.021,0.042,99.520,0.417,0.0,0.0,0.0,12288.0,941510656.0,195207168.0,509042688.0,66008473600.0,0.0,3.0,0.0,1048567808.0,0.0,0.0
20-03 01:37:39,0.0,0.042,99.958,0.0,0.0,0.0,0.0,0.0,940908544.0,195207168.0,509042688.0,66009075712.0,0.0,0.0,0.0,1048567808.0,60.0,0.0
20-03 01:37:40,0.0,0.063,99.937,0.0,0.0,0.0,0.0,0.0,940908544.0,195207168.0,509050880.0,66009067520.0,0.0,0.0,0.0,1048567808.0,0.0,0.0
20-03 01:37:41,0.0,0.063,99.937,0.0,0.0,0.0,0.0,0.0,940040192.0,195207168.0,509050880.0,66009935872.0,0.0,0.0,0.0,1048567808.0,272.0,5450.0
20-03 01:37:42,0.021,0.042,99.937,0.0,0.0,0.0,0.0,0.0,939913216.0,195207168.0,509059072.0,66010054656.0,0.0,0.0,0.0,1048567808.0,0.0,0.0
20-03 01:37:43,0.0,0.063,99.937,0.0,0.0,0.0,0.0,0.0,938016768.0,195207168.0,509059072.0,66011951104.0,0.0,0.0,0.0,1048567808.0,90.0,0.0
20-03 01:37:44,0.0,0.042,99.958,0.0,0.0,0.0,0.0,0.0,938004480.0,195207168.0,509071360.0,66011951104.0,0.0,0.0,0.0,1048567808.0,0.0,0.0
20-03 01:37:45,0.021,0.042,99.937,0.0,0.0,0.0,0.0,0.0,937750528.0,195207168.0,509071360.0,66012205056.0,0.0,0.0,0.0,1048567808.0,1178.0,149752.0
20-03 01:37:46,0.0,0.042,99.958,0.0,0.0,0.0,0.0,0.0,937750528.0,195207168.0,509071360.0,66012205056.0,0.0,0.0,0.0,1048567808.0,0.0,0.0
20-03 01:37:47,0.021,0.063,99.917,0.0,0.0,0.0,0.0,0.0,937140224.0,195207168.0,509071360.0,66012815360.0,0.0,0.0,0.0,1048567808.0,990.0,13094.0
20-03 01:37:48,0.0,0.042,99.958,0.0,0.0,0.0,0.0,0.0,936882176.0,195207168.0,509071360.0,66013073408.0,0.0,0.0,0.0,1048567808.0,0.0,0.0
20-03 01:37:49,0.0,0.042,99.958,0.0,0.0,0.0,0.0,0.0,935677952.0,195207168.0,509071360.0,66014277632.0,0.0,0.0,0.0,1048567808.0,900.0,618.0
20-03 01:37:50,0.021,0.042,99.937,0.0,0.0,0.0,0.0,0.0,935677952.0,195207168.0,509071360.0,66014277632.0,0.0,0.0,0.0,1048567808.0,0.0,0.0
20-03 01:37:51,0.0,0.063,99.937,0.0,0.0,0.0,0.0,0.0,935550976.0,195207168.0,509071360.0,66014404608.0,0.0,0.0,0.0,1048567808.0,60.0,0.0
20-03 01:37:52,0.0,0.042,99.958,0.0,0.0,0.0,0.0,0.0,935550976.0,195207168.0,509071360.0,66014404608.0,0.0,0.0,0.0,1048567808.0,0.0,0.0
20-03 01:37:53,0.021,0.063,99.917,0.0,0.0,0.0,0.0,45056.0,935161856.0,195207168.0,509071360.0,66014793728.0,0.0,11.0,0.0,1048567808.0,900.0,570.0
20-03 01:37:54,0.0,0.042,99.958,0.0,0.0,0.0,0.0,0.0,935034880.0,195207168.0,509071360.0,66014920704.0,0.0,0.0,0.0,1048567808.0,0.0,0.0
