"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","compute-662-1.local",,,,"User:","pg27752"
"Cmdline:","dstat -tcdmrsn --integer --output MPI_io3.txt",,,,"Date:","20 Mar 2015 01:27:04 WET"

"system","total cpu usage",,,,,,"dsk/total",,"memory usage",,,,"io/total",,"swap",,"net/total",
20-03 01:27:19,8.337,0.042,91.622,0.0,0.0,0.0,0.0,0.0,1053368320.0,195047424.0,508366848.0,65897451520.0,0.0,0.0,0.0,1048567808.0,396.0,972.0
20-03 01:27:20,8.339,0.021,91.641,0.0,0.0,0.0,0.0,0.0,1053368320.0,195047424.0,508366848.0,65897451520.0,0.0,0.0,0.0,1048567808.0,0.0,0.0
20-03 01:27:21,5.965,0.104,93.618,0.313,0.0,0.0,0.0,4096.0,941867008.0,195047424.0,497475584.0,66019844096.0,0.0,1.0,0.0,1048567808.0,462.0,2702.0
20-03 01:27:22,0.021,0.021,99.958,0.0,0.0,0.0,0.0,0.0,941416448.0,195047424.0,497655808.0,66020114432.0,0.0,0.0,0.0,1048567808.0,0.0,0.0
20-03 01:27:23,0.0,0.042,99.958,0.0,0.0,0.0,0.0,0.0,941539328.0,195047424.0,497221632.0,66020425728.0,0.0,0.0,0.0,1048567808.0,4804.0,3764.0
20-03 01:27:24,0.042,0.125,99.833,0.0,0.0,0.0,0.0,0.0,942063616.0,195047424.0,497221632.0,66019901440.0,0.0,0.0,0.0,1048567808.0,0.0,0.0
20-03 01:27:25,14.989,1.897,83.073,0.0,0.0,0.042,0.0,0.0,1093427200.0,195047424.0,526753792.0,65839005696.0,0.0,0.0,0.0,1048567808.0,7760.0,7860.0
20-03 01:27:26,18.445,0.042,81.096,0.417,0.0,0.0,0.0,102400.0,1093591040.0,195047424.0,526970880.0,65838624768.0,0.0,24.0,0.0,1048567808.0,0.0,0.0
20-03 01:27:27,18.737,0.063,81.180,0.0,0.0,0.021,0.0,0.0,1094115328.0,195047424.0,527126528.0,65837944832.0,0.0,1.0,0.0,1048567808.0,522.0,910.0
20-03 01:27:28,18.758,0.042,81.201,0.0,0.0,0.0,0.0,0.0,1093021696.0,195047424.0,527126528.0,65839038464.0,0.0,0.0,0.0,1048567808.0,0.0,0.0
20-03 01:27:29,18.758,0.042,81.180,0.0,0.0,0.021,0.0,0.0,1092628480.0,195047424.0,527134720.0,65839423488.0,0.0,0.0,0.0,1048567808.0,710.0,1292.0
20-03 01:27:30,14.700,0.167,85.133,0.0,0.0,0.0,0.0,0.0,943972352.0,195047424.0,497360896.0,66017853440.0,0.0,0.0,0.0,1048567808.0,0.0,0.0
20-03 01:27:31,0.0,0.042,99.645,0.313,0.0,0.0,0.0,0.0,942686208.0,195047424.0,497262592.0,66019237888.0,0.0,0.0,0.0,1048567808.0,664.0,3202.0
20-03 01:27:32,0.021,0.063,99.812,0.104,0.0,0.0,0.0,49152.0,942694400.0,195051520.0,497258496.0,66019229696.0,0.0,12.0,0.0,1048567808.0,0.0,0.0
20-03 01:27:33,0.397,0.585,99.019,0.0,0.0,0.0,0.0,0.0,952623104.0,195051520.0,497270784.0,66009288704.0,0.0,0.0,0.0,1048567808.0,0.0,0.0
20-03 01:27:34,28.589,2.421,68.969,0.0,0.0,0.021,0.0,0.0,1118806016.0,195051520.0,549535744.0,65790840832.0,0.0,0.0,0.0,1048567808.0,0.0,0.0
20-03 01:27:35,33.292,0.083,66.625,0.0,0.0,0.0,0.0,0.0,1120935936.0,195051520.0,550703104.0,65787543552.0,0.0,0.0,0.0,1048567808.0,10596.0,16456.0
20-03 01:27:36,33.340,0.063,66.597,0.0,0.0,0.0,0.0,0.0,1120854016.0,195051520.0,550707200.0,65787621376.0,0.0,0.0,0.0,1048567808.0,0.0,0.0
20-03 01:27:37,33.326,0.083,66.298,0.292,0.0,0.0,0.0,0.0,1119080448.0,195051520.0,550711296.0,65789390848.0,0.0,0.0,0.0,1048567808.0,726.0,1430.0
20-03 01:27:38,0.438,0.250,99.499,-0.188,0.0,0.0,0.0,12288.0,945881088.0,195051520.0,497770496.0,66015531008.0,0.0,3.0,0.0,1048567808.0,0.0,0.0
20-03 01:27:39,0.021,0.042,99.896,0.042,0.0,0.0,0.0,53248.0,945086464.0,195059712.0,497295360.0,66016792576.0,0.0,13.0,0.0,1048567808.0,460.0,2812.0
20-03 01:27:40,0.0,0.042,99.958,0.0,0.0,0.0,0.0,0.0,944951296.0,195059712.0,497295360.0,66016927744.0,0.0,0.0,0.0,1048567808.0,0.0,0.0
20-03 01:27:41,0.021,0.063,99.917,0.0,0.0,0.0,0.0,0.0,943677440.0,195059712.0,497303552.0,66018193408.0,0.0,0.0,0.0,1048567808.0,1198.0,154162.0
20-03 01:27:42,0.0,0.063,99.937,0.0,0.0,0.0,0.0,0.0,943550464.0,195059712.0,497303552.0,66018320384.0,0.0,0.0,0.0,1048567808.0,0.0,0.0
20-03 01:27:43,2.585,0.438,96.706,0.250,0.0,0.021,0.0,147456.0,950099968.0,195059712.0,498855936.0,66010218496.0,0.0,34.0,0.0,1048567808.0,5178.0,5290.0
20-03 01:27:44,4.189,0.021,95.790,0.0,0.0,0.0,0.0,0.0,950349824.0,195059712.0,498860032.0,66009964544.0,0.0,0.0,0.0,1048567808.0,0.0,0.0
20-03 01:27:45,4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,949747712.0,195059712.0,498937856.0,66010488832.0,0.0,0.0,0.0,1048567808.0,182.0,252.0
20-03 01:27:46,4.188,0.042,95.770,0.0,0.0,0.0,0.0,0.0,949669888.0,195059712.0,498937856.0,66010566656.0,0.0,0.0,0.0,1048567808.0,0.0,0.0
20-03 01:27:47,4.168,0.063,95.769,0.0,0.0,0.0,0.0,0.0,948310016.0,195059712.0,498946048.0,66011918336.0,0.0,0.0,0.0,1048567808.0,60.0,3770.0
20-03 01:27:48,4.168,0.042,95.353,0.417,0.0,0.021,0.0,65536.0,948183040.0,195063808.0,498941952.0,66012045312.0,0.0,16.0,0.0,1048567808.0,0.0,0.0
20-03 01:27:49,4.169,0.042,95.789,0.0,0.0,0.0,0.0,0.0,947290112.0,195063808.0,498954240.0,66012925952.0,0.0,0.0,0.0,1048567808.0,276.0,322.0
20-03 01:27:50,4.168,0.042,95.790,0.0,0.0,0.0,0.0,0.0,946999296.0,195063808.0,498954240.0,66013216768.0,0.0,0.0,0.0,1048567808.0,0.0,0.0
20-03 01:27:51,4.188,0.063,95.728,0.0,0.0,0.021,0.0,0.0,946135040.0,195063808.0,498962432.0,66014072832.0,0.0,0.0,0.0,1048567808.0,5010.0,4324.0
20-03 01:27:52,4.168,0.042,95.790,0.0,0.0,0.0,0.0,0.0,946135040.0,195063808.0,498962432.0,66014072832.0,0.0,0.0,0.0,1048567808.0,0.0,0.0
20-03 01:27:53,4.169,0.042,95.789,0.0,0.0,0.0,0.0,0.0,945270784.0,195063808.0,498974720.0,66014924800.0,0.0,0.0,0.0,1048567808.0,0.0,0.0
20-03 01:27:54,4.168,0.042,95.790,0.0,0.0,0.0,0.0,0.0,945143808.0,195063808.0,498974720.0,66015051776.0,0.0,0.0,0.0,1048567808.0,0.0,0.0
20-03 01:27:55,4.189,0.063,95.748,0.0,0.0,0.0,0.0,0.0,944824320.0,195063808.0,498982912.0,66015363072.0,0.0,0.0,0.0,1048567808.0,0.0,0.0
20-03 01:27:56,4.168,0.021,95.811,0.0,0.0,0.0,0.0,0.0,944697344.0,195063808.0,498982912.0,66015490048.0,0.0,0.0,0.0,1048567808.0,0.0,0.0
20-03 01:27:57,4.169,0.042,95.768,0.0,0.0,0.021,0.0,0.0,944173056.0,195063808.0,498991104.0,66016006144.0,0.0,0.0,0.0,1048567808.0,60.0,0.0
20-03 01:27:58,4.168,0.042,95.790,0.0,0.0,0.0,0.0,0.0,944123904.0,195063808.0,498991104.0,66016055296.0,0.0,0.0,0.0,1048567808.0,0.0,0.0
20-03 01:27:59,4.189,0.042,95.769,0.0,0.0,0.0,0.0,0.0,943726592.0,195063808.0,498999296.0,66016444416.0,0.0,0.0,0.0,1048567808.0,120.0,0.0
20-03 01:28:00,4.168,0.042,95.791,0.0,0.0,0.0,0.0,0.0,943722496.0,195063808.0,499003392.0,66016444416.0,0.0,0.0,0.0,1048567808.0,0.0,0.0
20-03 01:28:01,4.168,0.063,95.769,0.0,0.0,0.0,0.0,0.0,943579136.0,195063808.0,499011584.0,66016579584.0,0.0,0.0,0.0,1048567808.0,210.0,0.0
20-03 01:28:02,4.168,0.042,95.790,0.0,0.0,0.0,0.0,0.0,943525888.0,195063808.0,499011584.0,66016632832.0,0.0,0.0,0.0,1048567808.0,0.0,0.0
20-03 01:28:03,4.169,0.042,95.789,0.0,0.0,0.0,0.0,0.0,943128576.0,195063808.0,499019776.0,66017021952.0,0.0,0.0,0.0,1048567808.0,362.0,252.0
20-03 01:28:04,0.480,0.083,99.437,0.0,0.0,0.0,0.0,0.0,935305216.0,195063808.0,497684480.0,66026180608.0,0.0,0.0,0.0,1048567808.0,0.0,0.0
20-03 01:28:05,0.021,0.063,99.917,0.0,0.0,0.0,0.0,0.0,935182336.0,195063808.0,497418240.0,66026569728.0,0.0,0.0,0.0,1048567808.0,1724.0,8064.0
20-03 01:28:06,0.0,0.042,99.958,0.0,0.0,0.0,0.0,0.0,935182336.0,195063808.0,497418240.0,66026569728.0,0.0,0.0,0.0,1048567808.0,0.0,0.0
20-03 01:28:07,2.065,0.792,96.997,0.146,0.0,0.0,0.0,0.0,1563529216.0,195063808.0,499179520.0,65396461568.0,0.0,0.0,0.0,1048567808.0,884366.0,12274.0
20-03 01:28:08,3.856,0.354,95.790,0.0,0.0,0.0,0.0,4096.0,2147147776.0,195063808.0,499646464.0,64812376064.0,0.0,1.0,0.0,1048567808.0,0.0,0.0
20-03 01:28:09,4.086,0.125,95.747,0.042,0.0,0.0,0.0,69632.0,2291388416.0,195067904.0,499658752.0,64668119040.0,0.0,17.0,0.0,1048567808.0,66.0,162.0
20-03 01:28:10,4.168,0.042,95.770,0.0,0.0,0.021,0.0,0.0,2291388416.0,195067904.0,499658752.0,64668119040.0,0.0,0.0,0.0,1048567808.0,0.0,0.0
20-03 01:28:11,4.169,0.042,95.789,0.0,0.0,0.0,0.0,0.0,2291253248.0,195067904.0,499666944.0,64668246016.0,0.0,0.0,0.0,1048567808.0,60.0,0.0
20-03 01:28:12,3.877,0.354,95.769,0.0,0.0,0.0,0.0,0.0,2824945664.0,195067904.0,499666944.0,64134553600.0,0.0,0.0,0.0,1048567808.0,0.0,0.0
20-03 01:28:13,4.168,0.063,95.769,0.0,0.0,0.0,0.0,0.0,2824658944.0,195067904.0,499675136.0,64134832128.0,0.0,0.0,0.0,1048567808.0,132.0,500.0
20-03 01:28:14,4.168,0.063,95.769,0.0,0.0,0.0,0.0,0.0,2824658944.0,195067904.0,499675136.0,64134832128.0,0.0,0.0,0.0,1048567808.0,0.0,0.0
20-03 01:28:15,4.189,0.042,95.769,0.0,0.0,0.0,0.0,0.0,2824396800.0,195067904.0,499683328.0,64135086080.0,0.0,0.0,0.0,1048567808.0,1330.0,167312.0
20-03 01:28:16,4.168,0.042,95.790,0.0,0.0,0.0,0.0,0.0,2824310784.0,195067904.0,499683328.0,64135172096.0,0.0,0.0,0.0,1048567808.0,0.0,0.0
20-03 01:28:17,4.189,0.021,95.769,0.0,0.0,0.021,0.0,0.0,2824187904.0,195067904.0,499695616.0,64135282688.0,0.0,0.0,0.0,1048567808.0,368.0,430.0
20-03 01:28:18,4.168,0.063,95.770,0.0,0.0,0.0,0.0,0.0,2824187904.0,195067904.0,499695616.0,64135282688.0,0.0,0.0,0.0,1048567808.0,0.0,0.0
20-03 01:28:19,4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,2824155136.0,195067904.0,499703808.0,64135307264.0,0.0,0.0,0.0,1048567808.0,436.0,836.0
20-03 01:28:20,4.188,0.042,95.770,0.0,0.0,0.0,0.0,0.0,2824155136.0,195067904.0,499703808.0,64135307264.0,0.0,0.0,0.0,1048567808.0,0.0,0.0
20-03 01:28:21,4.169,0.042,95.789,0.0,0.0,0.0,0.0,0.0,2823884800.0,195067904.0,499712000.0,64135569408.0,0.0,0.0,0.0,1048567808.0,435.0,356.0
20-03 01:28:22,4.168,0.042,95.790,0.0,0.0,0.0,0.0,0.0,2823884800.0,195067904.0,499712000.0,64135569408.0,0.0,0.0,0.0,1048567808.0,0.0,0.0
20-03 01:28:23,4.169,0.063,95.768,0.0,0.0,0.0,0.0,61440.0,2823876608.0,195067904.0,499720192.0,64135569408.0,0.0,15.0,0.0,1048567808.0,66.0,178.0
20-03 01:28:24,4.189,0.042,95.769,0.0,0.0,0.0,0.0,0.0,2823876608.0,195067904.0,499720192.0,64135569408.0,0.0,0.0,0.0,1048567808.0,0.0,0.0
20-03 01:28:25,4.168,0.063,95.769,0.0,0.0,0.0,0.0,0.0,2823876608.0,195067904.0,499728384.0,64135561216.0,0.0,0.0,0.0,1048567808.0,308.0,430.0
20-03 01:28:26,4.188,0.042,95.770,0.0,0.0,0.0,0.0,0.0,2823876608.0,195067904.0,499728384.0,64135561216.0,0.0,0.0,0.0,1048567808.0,0.0,0.0
20-03 01:28:27,4.170,0.042,95.788,0.0,0.0,0.0,0.0,0.0,2823733248.0,195067904.0,499736576.0,64135696384.0,0.0,0.0,0.0,1048567808.0,126.0,178.0
20-03 01:28:28,4.168,0.042,95.791,0.0,0.0,0.0,0.0,0.0,2823729152.0,195067904.0,499740672.0,64135696384.0,0.0,0.0,0.0,1048567808.0,0.0,0.0
20-03 01:28:29,4.189,0.063,95.748,0.0,0.0,0.0,0.0,0.0,2823716864.0,195067904.0,499752960.0,64135696384.0,0.0,0.0,0.0,1048567808.0,66.0,178.0
20-03 01:28:30,4.168,0.042,95.790,0.0,0.0,0.0,0.0,0.0,2823716864.0,195067904.0,499752960.0,64135696384.0,0.0,0.0,0.0,1048567808.0,0.0,0.0
20-03 01:28:31,4.169,0.042,95.789,0.0,0.0,0.0,0.0,0.0,2823708672.0,195067904.0,499761152.0,64135696384.0,0.0,0.0,0.0,1048567808.0,132.0,356.0
20-03 01:28:32,4.168,0.042,95.790,0.0,0.0,0.0,0.0,0.0,2823708672.0,195067904.0,499761152.0,64135696384.0,0.0,0.0,0.0,1048567808.0,0.0,0.0
20-03 01:28:33,4.168,0.042,95.769,0.0,0.0,0.021,0.0,0.0,2823602176.0,195067904.0,499769344.0,64135794688.0,0.0,0.0,0.0,1048567808.0,126.0,178.0
20-03 01:28:34,4.188,0.063,95.749,0.0,0.0,0.0,0.0,0.0,2823602176.0,195067904.0,499769344.0,64135794688.0,0.0,0.0,0.0,1048567808.0,0.0,0.0
20-03 01:28:35,4.168,0.063,95.769,0.0,0.0,0.0,0.0,0.0,2823737344.0,195067904.0,499777536.0,64135651328.0,0.0,0.0,0.0,1048567808.0,398.0,5768.0
20-03 01:28:36,4.168,0.042,95.790,0.0,0.0,0.0,0.0,0.0,2823737344.0,195067904.0,499777536.0,64135651328.0,0.0,0.0,0.0,1048567808.0,0.0,0.0
20-03 01:28:37,4.189,0.063,95.456,0.292,0.0,0.0,0.0,0.0,2823733248.0,195067904.0,499781632.0,64135651328.0,0.0,0.0,0.0,1048567808.0,308.0,430.0
20-03 01:28:38,4.168,0.042,95.665,0.125,0.0,0.0,0.0,610304.0,2823847936.0,195080192.0,499781632.0,64135524352.0,0.0,33.0,0.0,1048567808.0,0.0,0.0
20-03 01:28:39,4.168,0.063,95.769,0.0,0.0,0.0,0.0,0.0,2823835648.0,195080192.0,499793920.0,64135524352.0,0.0,0.0,0.0,1048567808.0,132.0,356.0
20-03 01:28:40,4.168,0.042,95.790,0.0,0.0,0.0,0.0,0.0,2823835648.0,195080192.0,499793920.0,64135524352.0,0.0,0.0,0.0,1048567808.0,0.0,0.0
20-03 01:28:41,4.168,0.063,95.769,0.0,0.0,0.0,0.0,0.0,2823688192.0,195080192.0,499806208.0,64135659520.0,0.0,0.0,0.0,1048567808.0,66.0,178.0
20-03 01:28:42,4.168,0.042,95.790,0.0,0.0,0.0,0.0,0.0,2823688192.0,195080192.0,499806208.0,64135659520.0,0.0,0.0,0.0,1048567808.0,0.0,0.0
20-03 01:28:43,4.170,0.042,95.496,0.292,0.0,0.0,0.0,0.0,2823680000.0,195080192.0,499814400.0,64135659520.0,0.0,0.0,0.0,1048567808.0,240.0,418.0
20-03 01:28:44,3.189,0.083,96.602,0.125,0.0,0.0,0.0,348160.0,934932480.0,195084288.0,498475008.0,66025742336.0,0.0,38.0,0.0,1048567808.0,0.0,0.0
20-03 01:28:45,0.0,0.063,99.937,0.0,0.0,0.0,0.0,0.0,934674432.0,195084288.0,498438144.0,66026037248.0,0.0,0.0,0.0,1048567808.0,6546.0,149434.0
20-03 01:28:46,0.021,0.063,99.917,0.0,0.0,0.0,0.0,0.0,934674432.0,195084288.0,498438144.0,66026037248.0,0.0,0.0,0.0,1048567808.0,0.0,0.0
20-03 01:28:47,0.063,0.209,99.625,0.083,0.0,0.021,0.0,0.0,936841216.0,195084288.0,498446336.0,66023862272.0,0.0,0.0,0.0,1048567808.0,0.0,12524.0
20-03 01:28:48,3.814,0.333,95.852,0.0,0.0,0.0,0.0,0.0,995024896.0,195084288.0,499781632.0,65964343296.0,0.0,0.0,0.0,1048567808.0,0.0,0.0
20-03 01:28:49,4.147,0.083,95.457,0.292,0.0,0.021,0.0,0.0,1054650368.0,195084288.0,499916800.0,65904582656.0,0.0,0.0,0.0,1048567808.0,86798.0,8660.0
20-03 01:28:50,3.981,0.208,95.686,0.125,0.0,0.0,0.0,81920.0,1354919936.0,195088384.0,499912704.0,65604313088.0,0.0,20.0,0.0,1048567808.0,0.0,0.0
20-03 01:28:51,4.188,0.063,95.749,0.0,0.0,0.0,0.0,0.0,1354797056.0,195088384.0,499929088.0,65604419584.0,0.0,0.0,0.0,1048567808.0,330.0,586.0
20-03 01:28:52,4.168,0.042,95.790,0.0,0.0,0.0,0.0,0.0,1354797056.0,195088384.0,499929088.0,65604419584.0,0.0,0.0,0.0,1048567808.0,0.0,0.0
20-03 01:28:53,0.772,0.083,99.145,0.0,0.0,0.0,0.0,0.0,935116800.0,195088384.0,498552832.0,66025476096.0,0.0,0.0,0.0,1048567808.0,664.0,2194.0
20-03 01:28:54,0.0,0.063,99.937,0.0,0.0,0.0,0.0,0.0,935108608.0,195088384.0,498552832.0,66025484288.0,0.0,0.0,0.0,1048567808.0,0.0,0.0
20-03 01:28:55,0.021,0.063,99.625,0.292,0.0,0.0,0.0,0.0,934858752.0,195092480.0,498552832.0,66025730048.0,0.0,0.0,0.0,1048567808.0,242.0,252.0
20-03 01:28:56,0.021,0.063,99.812,0.104,0.0,0.0,0.0,45056.0,934854656.0,195092480.0,498556928.0,66025730048.0,0.0,11.0,0.0,1048567808.0,0.0,0.0
20-03 01:28:57,0.0,0.063,99.937,0.0,0.0,0.0,0.0,0.0,934469632.0,195092480.0,498569216.0,66026102784.0,0.0,0.0,0.0,1048567808.0,0.0,0.0
20-03 01:28:58,0.0,0.063,99.937,0.0,0.0,0.0,0.0,0.0,934465536.0,195092480.0,498573312.0,66026102784.0,0.0,0.0,0.0,1048567808.0,0.0,0.0
20-03 01:28:59,3.985,0.835,94.868,0.292,0.0,0.021,0.0,0.0,950034432.0,195092480.0,501981184.0,66007126016.0,0.0,0.0,0.0,1048567808.0,734868.0,10994.0
20-03 01:29:00,8.339,0.021,91.641,0.0,0.0,0.0,0.0,0.0,950784000.0,195092480.0,501993472.0,66006364160.0,0.0,0.0,0.0,1048567808.0,0.0,0.0
20-03 01:29:01,8.356,0.063,91.582,0.0,0.0,0.0,0.0,0.0,951791616.0,195092480.0,502042624.0,66005307392.0,0.0,0.0,0.0,1048567808.0,0.0,0.0
20-03 01:29:02,8.340,0.021,91.639,0.0,0.0,0.0,0.0,0.0,951709696.0,195092480.0,502042624.0,66005389312.0,0.0,0.0,0.0,1048567808.0,0.0,0.0
20-03 01:29:03,8.337,0.042,91.622,0.0,0.0,0.0,0.0,0.0,951324672.0,195092480.0,502054912.0,66005762048.0,0.0,0.0,0.0,1048567808.0,180.0,0.0
20-03 01:29:04,8.358,0.042,91.184,0.417,0.0,0.0,0.0,73728.0,951320576.0,195092480.0,502054912.0,66005766144.0,0.0,18.0,0.0,1048567808.0,0.0,0.0
20-03 01:29:05,8.339,0.042,91.620,0.0,0.0,0.0,0.0,0.0,951324672.0,195092480.0,502063104.0,66005753856.0,0.0,0.0,0.0,1048567808.0,724.0,6718.0
20-03 01:29:06,8.339,0.021,91.641,0.0,0.0,0.0,0.0,0.0,951324672.0,195092480.0,502063104.0,66005753856.0,0.0,0.0,0.0,1048567808.0,0.0,0.0
20-03 01:29:07,8.339,0.042,91.620,0.0,0.0,0.0,0.0,0.0,951173120.0,195092480.0,502071296.0,66005897216.0,0.0,0.0,0.0,1048567808.0,302.0,252.0
20-03 01:29:08,8.340,0.021,91.639,0.0,0.0,0.0,0.0,4096.0,951173120.0,195092480.0,502071296.0,66005897216.0,0.0,1.0,0.0,1048567808.0,0.0,0.0
20-03 01:29:09,7.694,0.042,92.264,0.0,0.0,0.0,0.0,0.0,951001088.0,195092480.0,499408896.0,66008731648.0,0.0,0.0,0.0,1048567808.0,120.0,0.0
20-03 01:29:10,0.021,0.083,99.896,0.0,0.0,0.0,0.0,0.0,935874560.0,195092480.0,499408896.0,66023858176.0,0.0,0.0,0.0,1048567808.0,0.0,0.0
20-03 01:29:11,0.021,0.042,99.937,0.0,0.0,0.0,0.0,0.0,935116800.0,195092480.0,499331072.0,66024693760.0,0.0,0.0,0.0,1048567808.0,1186.0,2396.0
20-03 01:29:12,0.0,0.042,99.958,0.0,0.0,0.0,0.0,0.0,935116800.0,195092480.0,499331072.0,66024693760.0,0.0,0.0,0.0,1048567808.0,0.0,0.0
20-03 01:29:13,5.923,1.230,92.659,0.188,0.0,0.0,0.0,0.0,1847476224.0,195092480.0,502693888.0,65108971520.0,0.0,0.0,0.0,1048567808.0,885726.0,13036.0
20-03 01:29:14,8.128,0.271,91.601,0.0,0.0,0.0,0.0,0.0,2300841984.0,195092480.0,502755328.0,64655544320.0,0.0,0.0,0.0,1048567808.0,0.0,0.0
20-03 01:29:15,8.104,0.292,91.167,0.417,0.0,0.021,0.0,77824.0,2831581184.0,195096576.0,502947840.0,64124608512.0,0.0,19.0,0.0,1048567808.0,920.0,142212.0
20-03 01:29:16,8.335,0.042,91.623,0.0,0.0,0.0,0.0,0.0,2831577088.0,195096576.0,502947840.0,64124612608.0,0.0,0.0,0.0,1048567808.0,0.0,0.0
20-03 01:29:17,8.339,0.042,91.599,0.0,0.0,0.021,0.0,0.0,2831343616.0,195096576.0,502956032.0,64124837888.0,0.0,0.0,0.0,1048567808.0,252.0,356.0
20-03 01:29:18,8.337,0.042,91.622,0.0,0.0,0.0,0.0,81920.0,2831343616.0,195096576.0,502956032.0,64124837888.0,0.0,20.0,0.0,1048567808.0,0.0,0.0
20-03 01:29:19,8.354,0.042,91.583,0.0,0.0,0.021,0.0,0.0,2830782464.0,195096576.0,502960128.0,64125394944.0,0.0,0.0,0.0,1048567808.0,566.0,1108.0
20-03 01:29:20,8.337,0.042,91.622,0.0,0.0,0.0,0.0,0.0,2830729216.0,195096576.0,502960128.0,64125448192.0,0.0,0.0,0.0,1048567808.0,0.0,0.0
20-03 01:29:21,8.337,0.042,91.622,0.0,0.0,0.0,0.0,0.0,2830446592.0,195096576.0,502972416.0,64125718528.0,0.0,0.0,0.0,1048567808.0,132.0,356.0
20-03 01:29:22,8.356,0.042,91.602,0.0,0.0,0.0,0.0,0.0,2830381056.0,195096576.0,502972416.0,64125784064.0,0.0,0.0,0.0,1048567808.0,0.0,0.0
20-03 01:29:23,8.337,0.042,91.622,0.0,0.0,0.0,0.0,0.0,2830245888.0,195096576.0,502980608.0,64125911040.0,0.0,0.0,0.0,1048567808.0,258.0,534.0
20-03 01:29:24,8.339,0.042,91.620,0.0,0.0,0.0,0.0,0.0,2830245888.0,195096576.0,502980608.0,64125911040.0,0.0,0.0,0.0,1048567808.0,0.0,0.0
20-03 01:29:25,8.335,0.063,91.602,0.0,0.0,0.0,0.0,0.0,2829983744.0,195096576.0,502988800.0,64126164992.0,0.0,0.0,0.0,1048567808.0,314.0,608.0
